f1,params,precision,recall,false_positives,false_negatives,true_positives,true_negatives
0.005586592181548641,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.005464480877034251,0.005714285717126531,364,348,2,550011
0.011412268191122933,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.011396011398827932,0.01142857143139592,347,346,4,550028
2.82087447107808e-12,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.785515320326503e-12,2.8571428571346942e-12,359,350,0,550016
0.005730659028636877,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.005747126439638658,0.005714285717126531,346,348,2,550029
0.002820874473898954,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.002785515323112018,0.002857142859991837,358,349,1,550017
2.7816411682815536e-12,"{'window_step': 3, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.710027100263659e-12,2.8571428571346942e-12,369,350,0,550006
2.9154518950352324e-12,"{'window_step': 2, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.976190476181619e-12,2.8571428571346942e-12,336,350,0,550039
2.9154518950352324e-12,"{'window_step': 5, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.976190476181619e-12,2.8571428571346942e-12,336,350,0,550039
2.7434842249581797e-12,"{'window_step': 8, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.6385224274336717e-12,2.8571428571346942e-12,379,350,0,549996
2.941176470579585e-12,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",3.030303030293848e-12,2.8571428571346942e-12,330,350,0,550045
2.6954177897501475e-12,"{'window_step': 3, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.5510204081567577e-12,2.8571428571346942e-12,392,350,0,549983
2.82087447107808e-12,"{'window_step': 1, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.785515320326503e-12,2.8571428571346942e-12,359,350,0,550016
0.002906976747084573,"{'window_step': 5, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0029585798846066317,0.002857142859991837,337,349,1,550038
2.9282576866678532e-12,"{'window_step': 2, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",3.0030030029939852e-12,2.8571428571346942e-12,333,350,0,550042
3.0349013656964047e-12,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",3.2362459546820835e-12,2.8571428571346942e-12,309,350,0,550066
3.0030030029939852e-12,"{'window_step': 1, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",3.1645569620153023e-12,2.8571428571346942e-12,316,350,0,550059
3.1948881789035312e-12,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",3.6231884057839743e-12,2.8571428571346942e-12,276,350,0,550099
3.0487804877955835e-12,"{'window_step': 8, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",3.267973856198471e-12,2.8571428571346942e-12,306,350,0,550069
0.0063091482681189,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0070422535246230916,0.005714285717126531,282,348,2,550093
0.0027359781149035953,"{'window_step': 2, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.002624671918628282,0.002857142859991837,380,349,1,549995
0.0028288543168236806,"{'window_step': 5, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.002801120450972546,0.002857142859991837,356,349,1,550019
2.832861189793675e-12,"{'window_step': 3, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.8089887640370537e-12,2.8571428571346942e-12,356,350,0,550019
2.7285129604291175e-12,"{'window_step': 8, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.6109660574344363e-12,2.8571428571346942e-12,383,350,0,549992
0.005979073246618898,"{'window_step': 1, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.006269592479604171,0.005714285717126531,317,348,2,550058
2.8943560057803356e-12,"{'window_step': 5, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.9325513196394944e-12,2.8571428571346942e-12,341,350,0,550034
0.0028449502162081228,"{'window_step': 2, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.002832861192626536,0.002857142859991837,352,349,1,550023
2.9542097488834444e-12,"{'window_step': 3, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",3.0581039755258166e-12,2.8571428571346942e-12,327,350,0,550048
2.86944045910224e-12,"{'window_step': 8, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",2.8818443803951533e-12,2.8571428571346942e-12,347,350,0,550028
3.0349013656964047e-12,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",3.2362459546820835e-12,2.8571428571346942e-12,309,350,0,550066
3.3112582781347314e-12,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",3.9370078740002484e-12,2.8571428571346942e-12,254,350,0,550121
0.0031347962413694835,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0034722222256823886,0.002857142859991837,287,349,1,550088
