f1,params,precision,recall,false_positives,false_negatives,true_positives,true_negatives
4.048582995935026e-12,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.94444444439622e-12,2.8571428571346942e-12,144,350,0,244156
3.898635477567647e-12,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.1349693251157375e-12,2.8571428571346942e-12,163,350,0,244137
0.015810276683731975,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.025641025647271533,0.01142857143139592,152,346,4,244148
4.089979550085523e-12,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",7.194244604264791e-12,2.8571428571346942e-12,139,350,0,244161
4.0816326530445644e-12,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",7.142857142806124e-12,2.8571428571346942e-12,140,350,0,244160
3.883495145615987e-12,"{'window_step': 3, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.060606060569331e-12,2.8571428571346942e-12,165,350,0,244135
3.999999999984001e-12,"{'window_step': 8, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.666666666622223e-12,2.8571428571346942e-12,150,350,0,244150
3.913894324837911e-12,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.211180124185024e-12,2.8571428571346942e-12,161,350,0,244139
3.846153846139054e-12,"{'window_step': 2, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",5.882352941141869e-12,2.8571428571346942e-12,170,350,0,244130
0.0038834951494994816,"{'window_step': 5, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0060606060666299364,0.002857142859991837,164,349,1,244136
