f1,params,precision,recall,false_positives,false_negatives,true_positives,true_negatives
3.913894324837911e-12,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.211180124185024e-12,2.8571428571346942e-12,161,350,0,244139
0.004032258068532128,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0068493150752955536,0.002857142859991837,145,349,1,244155
0.0037807183402503563,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0055865921843263324,0.002857142859991837,178,349,1,244122
0.008146639515241767,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.014184397170112169,0.005714285717126531,139,348,2,244161
0.0038461538499852074,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0058823529470242225,0.002857142859991837,169,349,1,244131
0.0038240917820121455,"{'window_step': 5, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.005780346826556184,0.002857142859991837,172,349,1,244128
0.0038535645510448806,"{'window_step': 3, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.005917159769195757,0.002857142859991837,168,349,1,244132
4.056795131829385e-12,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.993006992958092e-12,2.8571428571346942e-12,143,350,0,244157
4.0650406503899795e-12,"{'window_step': 2, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",7.042253521077168e-12,2.8571428571346942e-12,142,350,0,244158
3.898635477567647e-12,"{'window_step': 2, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.1349693251157375e-12,2.8571428571346942e-12,163,350,0,244137
3.7313432835681674e-12,"{'window_step': 3, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",5.376344085992601e-12,2.8571428571346942e-12,186,350,0,244114
0.003759398499985867,"{'window_step': 8, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0054945054999698114,0.002857142859991837,181,349,1,244119
3.913894324837911e-12,"{'window_step': 1, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.211180124185024e-12,2.8571428571346942e-12,161,350,0,244139
3.846153846139054e-12,"{'window_step': 5, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",5.882352941141869e-12,2.8571428571346942e-12,170,350,0,244130
3.752345215745771e-12,"{'window_step': 8, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",5.46448087428708e-12,2.8571428571346942e-12,183,350,0,244117
4.2462845010435406e-12,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",8.264462809849054e-12,2.8571428571346942e-12,121,350,0,244179
4.016064257011984e-12,"{'window_step': 1, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.756756756711104e-12,2.8571428571346942e-12,148,350,0,244152
3.952569169944852e-12,"{'window_step': 5, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.41025641021532e-12,2.8571428571346942e-12,156,350,0,244144
3.8535645471913165e-12,"{'window_step': 2, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",5.917159763278597e-12,2.8571428571346942e-12,169,350,0,244131
0.003960396043548672,"{'window_step': 3, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.006451612909635797,0.002857142859991837,154,349,1,244146
3.976143141137271e-12,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",6.5359477123755826e-12,2.8571428571346942e-12,153,350,0,244147
0.008492569006333365,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.01652892562796257,0.005714285717126531,119,348,2,244181
0.003984063748988112,"{'window_step': 8, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.006578947374956718,0.002857142859991837,151,349,1,244149
3.960396039588276e-12,"{'window_step': 2, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.451612903184184e-12,2.8571428571346942e-12,155,350,0,244145
3.883495145615987e-12,"{'window_step': 3, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.060606060569331e-12,2.8571428571346942e-12,165,350,0,244135
3.906249999984742e-12,"{'window_step': 1, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.1728395061347364e-12,2.8571428571346942e-12,162,350,0,244138
